"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"BEL-1_DRH-I:BEL-1_DRH-LTR",2.25209292514103,0.0181357262879094,0.0709819757845568,0.2554976258051,0.798338777109868,0.999945529425441,"chicharo vs makindu","BEL-1_DRH-I:BEL-1_DRH-LTR",0.999945529425441,FALSE
"BEL-1_DRH-I",462.982797068721,0.00839540697043997,0.111203593583864,0.075495824369278,0.939820219727892,0.999945529425441,"chicharo vs makindu","BEL-1_DRH-I",0.999945529425441,FALSE
"BEL-1_DRH-LTR",10.1173121510355,-0.00649229252403166,0.098537401303299,-0.0658865815229725,0.947468123762356,0.999945529425441,"chicharo vs makindu","BEL-1_DRH-LTR",0.999945529425441,FALSE
"BEL-1_DTA-I",16.6073580548527,0.0182262441517293,0.104761530067745,0.173978407340396,0.861882431872017,0.999945529425441,"chicharo vs makindu","BEL-1_DTA-I",0.999945529425441,FALSE
"BEL-1_DTA-LTR",2.75544051253041,0.0167413405387109,0.0768180585844456,0.217934960180063,0.827479787476757,0.999945529425441,"chicharo vs makindu","BEL-1_DTA-LTR",0.999945529425441,FALSE
"BEL-1_DVIR-I",489.818854900094,0.0316645583776446,0.111032524115469,0.285182730284639,0.775504150479939,0.999945529425441,"chicharo vs makindu","BEL-1_DVIR-I",0.999945529425441,FALSE
"BEL-1_DWIL-I",120.124847296083,0.00818683135933083,0.110764317466297,0.0739121726798151,0.941080269946162,0.999945529425441,"chicharo vs makindu","BEL-1_DWIL-I",0.999945529425441,FALSE
"BEL-1_DWIL-LTR",0.0945369461059088,-0.00932261890554725,0.0223400317704903,-0.417305534805095,0.676454940630551,0.999945529425441,"chicharo vs makindu","BEL-1_DWIL-LTR",0.999945529425441,FALSE
"BEL1-I_DMOJ",48.9892052429664,0.0193457564981536,0.107182441408845,0.180493710013188,0.856764991988306,0.999945529425441,"chicharo vs makindu","BEL1-I_DMOJ",0.999945529425441,FALSE
"BEL1_I_DPSE-INT",51.8947019762562,0.00890155593545265,0.0991491974978128,0.0897794047768165,0.928462514694142,0.999945529425441,"chicharo vs makindu","BEL1_I_DPSE-INT",0.999945529425441,FALSE
"BEL1-I_DV",116.475965174359,0.00960844928542058,0.114539007539483,0.0838880089135436,0.933145473454911,0.999945529425441,"chicharo vs makindu","BEL1-I_DV",0.999945529425441,FALSE
"BEL1-I_DYA",271.315882921291,0.017277909446724,0.108944649303186,0.15859346518837,0.873989177657488,0.999945529425441,"chicharo vs makindu","BEL1-I_DYA",0.999945529425441,FALSE
"BEL1-LTR_DMOJ",0.712933269147083,-0.0232375590650018,0.0518094690294329,-0.448519537071506,0.653778289456527,0.999945529425441,"chicharo vs makindu","BEL1-LTR_DMOJ",0.999945529425441,FALSE
"BEL1_LTR_DPSE",0.712933269147083,-0.0232375590650018,0.0518094690294329,-0.448519537071506,0.653778289456527,0.999945529425441,"chicharo vs makindu","BEL1_LTR_DPSE",0.999945529425441,FALSE
"BEL1-LTR_DYA:BEL1-I_DYA",33.7191307539332,0.001015081148438,0.102521265766322,0.00990117651055624,0.992100133203651,0.999945529425441,"chicharo vs makindu","BEL1-LTR_DYA:BEL1-I_DYA",0.999945529425441,FALSE
"BEL-20_DAN-I",47.1226970152486,-0.0243058532353257,0.111781886982131,-0.217439997583967,0.827865463197497,0.999945529425441,"chicharo vs makindu","BEL-20_DAN-I",0.999945529425441,FALSE
"BEL-20_DAN-LTR",0.712933269147083,-0.0232375590650018,0.0518094690294329,-0.448519537071506,0.653778289456527,0.999945529425441,"chicharo vs makindu","BEL-20_DAN-LTR",0.999945529425441,FALSE
